,city,lat,lng,country,iso2,admin_name,capital,population,population_proper
145,Wesel,51.6586,6.6178,Germany,DE,Nordrhein-Westfalen,minor,60357.0,60357.0
146,Huerth,50.8775,6.8761,Germany,DE,Nordrhein-Westfalen,,60189.0,60189.0
147,Offenburg,48.4708,7.9408,Germany,DE,Baden-Wuerttemberg,minor,59646.0,59646.0
148,Stralsund,54.3092,13.0819,Germany,DE,Mecklenburg-Vorpommern,minor,59421.0,59421.0
149,Greifswald,54.0833,13.3833,Germany,DE,Mecklenburg-Vorpommern,minor,59382.0,59382.0
150,Langenfeld,51.1167,6.95,Germany,DE,Nordrhein-Westfalen,,58927.0,58927.0
151,Neu-Ulm,48.3833,10.0,Germany,DE,Bayern,minor,58707.0,58707.0
152,Unna,51.5347,7.6889,Germany,DE,Nordrhein-Westfalen,minor,58633.0,58633.0
153,Euskirchen,50.6613,6.7873,Germany,DE,Nordrhein-Westfalen,minor,57975.0,57975.0
154,Frankfurt (Oder),52.35,14.55,Germany,DE,Brandenburg,minor,57873.0,57873.0
155,Goeppingen,48.7025,9.6528,Germany,DE,Baden-Wuerttemberg,minor,57558.0,57558.0
156,Hameln,52.1031,9.36,Germany,DE,Niedersachsen,minor,57510.0,57510.0
157,Stolberg,50.7667,6.2333,Germany,DE,Nordrhein-Westfalen,,56792.0,56792.0
158,Eschweiler,50.8167,6.2833,Germany,DE,Nordrhein-Westfalen,,56385.0,56385.0
159,Goerlitz,51.1528,14.9872,Germany,DE,Sachsen,minor,56324.0,56324.0
160,Langenhagen,52.4394,9.74,Germany,DE,Niedersachsen,,56288.0,56288.0
161,Meerbusch,51.2667,6.6667,Germany,DE,Nordrhein-Westfalen,,56189.0,56189.0
162,Sankt Augustin,50.77,7.1867,Germany,DE,Nordrhein-Westfalen,,55767.0,55767.0
163,Hilden,51.1714,6.9394,Germany,DE,Nordrhein-Westfalen,,55764.0,55764.0
164,Waiblingen,48.8303,9.3169,Germany,DE,Baden-Wuerttemberg,minor,55449.0,55449.0
165,Baden-Baden,48.7619,8.2408,Germany,DE,Baden-Wuerttemberg,minor,55123.0,55123.0
166,Hattingen,51.3992,7.1858,Germany,DE,Nordrhein-Westfalen,,54562.0,54562.0
